Klient,Kraj,Produkt,StatusProjektu,Feedback
USA,Produkt X,W Trakcie,Eksport do PDF zawiesza aplikację. To krytyczny bloker.,Negatywny
Niemcy,Produkt Y,Zakończony,Integracja z API była trudna. Dokumentacja niejasna.,Neutralny
Polska,Produkt X,Planowany,Czekamy na możliwość dodawania własnych tagów.,Pozytywny
USA,Produkt Z,W Trakcie,Zniknęła opcja sortowania po dacie.,Negatywny
Wielka Brytania,Produkt X,Zakończony,Nowa funkcja dashboardu jest rewelacyjna!,Pozytywny
Polska,Produkt Y,Planowany,Kiedy dodacie logowanie dwuskładnikowe (2FA)?,Neutralny
Niemcy,Produkt Z,Zakończony,Nie możemy znaleźć cennika dla planu Enterprise.,Pytanie
USA,Produkt X,W Trakcie,Wersja mobilna na iOS często się psuje.,Negatywny
Kanada,Produkt Z,Planowany,Brak trybu ciemnego (dark mode) jest minusem.,
Niemcy,Produkt Y,W Trakcie,Pilnie potrzebujemy informacji o audycie bezpieczeństwa i RODO.,
Stany Zjednoczone,Produkt C,Planowany,System zarządzania danymi spełnił nasze oczekiwania.,
Stellar Dynamics,USA,Produkt Alfa,W Trakcie,Potrzebujemy pilnie demonstracji zaawansowanego modułu analitycznego. Prosimy o kontakt.
